analysis_date,symbol,expiry,strike,stock_price,call_bid,call_ask,call_volume,call_open_interest,call_bid_iv,call_ask_iv,call_mid_iv,call_model_iv,call_delta,call_gamma,call_vega,call_theta,put_bid,put_ask,put_volume,put_open_interest,put_bid_iv,put_ask_iv,put_mid_iv,put_model_iv,put_delta,put_gamma,put_vega,put_theta,expiry_date,days_to_expiry,dte_diff,atm_diff,straddle_bid,straddle_ask,straddle_mid,spread_abs,spread_pct_mid,min_leg_volume,total_volume,min_leg_open_interest,total_open_interest,IV30D,IV180D,iv_slope,side,rank_desc,rank_asc
2026-02-25,LSCC,20260320,100.0,101.03,5.6,5.9,30.0,0.0,0.4890690042745702,0.5190734217587092,0.5040712130166397,0.517689735736143,0.5639035905892714,0.0300614688704345,0.0999689480679251,-0.1190756875222076,4.4,4.8,0.0,0.0,0.4965081270532396,0.5365106843188513,0.5165094056860454,0.517689735736143,-0.4377353433115806,0.0302425732536932,0.0999778022633766,-0.1090561726845749,2026-03-20,23,7,1.0300000000000011,10.0,10.7,10.35,0.6999999999999993,0.06763285024154583,0.0,30.0,0.0,0.0,0.5102903093513426,0.5102903093513426,0.0,none,375,375
2026-02-25,LULU,20260327,180.0,180.96,12.0,14.6,1.0,0.0,0.5435523322483488,0.6704218221267518,0.6069870771875503,0.5999555936700852,0.5539845962691982,0.0127420607682705,0.2049421364688406,-0.2154350889745853,10.85,12.15,0.0,69.0,0.5611207446168394,0.6245419327850207,0.5928313387009301,0.5999555936700852,-0.4477934881224326,0.0128255725649482,0.20495765113521,-0.1975374197773423,2026-03-27,30,0,0.960000000000008,22.85,26.75,24.8,3.8999999999999986,0.15725806451612898,0.0,1.0,0.0,69.0,0.5999092079442402,0.5999092079442402,0.0,none,376,376
2026-02-25,LW,20260327,47.0,46.61,1.4,1.8,0.0,0.0,0.2823370294244829,0.3572650358127315,0.3198010326186072,0.3366642132959407,0.4981704568363487,0.0889258049222061,0.0533559286743687,-0.0325191141249363,1.65,2.05,0.0,3.0,0.2838815307789948,0.3589275751360965,0.3214045529575456,0.3366642132959407,-0.5058491232912353,0.0901494967632011,0.0532838660629608,-0.0279086335505442,2026-03-27,30,0,0.39000000000000057,3.05,3.8499999999999996,3.4499999999999997,0.7999999999999998,0.23188405797101447,0.0,0.0,0.0,3.0,0.3206027927880764,0.3206027927880764,0.0,none,377,377
2026-02-25,LYFT,20260327,13.5,13.38,0.71,0.81,4.0,0.0,0.4863311028189513,0.5517200785495207,0.519025590684236,0.4961608528451938,0.5122665605299609,0.210802938769595,0.0152975996758722,-0.013350724930689,0.77,0.86,0.0,34.0,0.473446083745195,0.5323099153797236,0.5028779995624593,0.4961608528451938,-0.490252960974418,0.2126332155405054,0.0152903965446674,-0.0120217236565359,2026-03-27,30,0,0.11999999999999922,1.48,1.67,1.575,0.18999999999999995,0.12063492063492061,0.0,4.0,0.0,34.0,0.5109517951233477,0.5109517951233477,0.0,none,378,378
2026-02-25,MCHP,20260327,76.0,75.61,3.8,4.6,0.0,0.0,0.4438042015805921,0.5364346325629857,0.4901194170717889,0.4811898887207098,0.5218745198109052,0.0382869104464191,0.0863484463415202,-0.0733659503120565,3.8,4.5,0.0,39.0,0.4303517574282766,0.5114172410671366,0.4708844992477066,0.4811898887207098,-0.4806584164531228,0.0386209102470279,0.0863150704764015,-0.0658789416491965,2026-03-27,30,0,0.39000000000000057,7.6,9.1,8.35,1.5,0.17964071856287425,0.0,0.0,0.0,39.0,0.4805019581597477,0.4805019581597477,0.0,none,379,379
2026-02-25,MDLZ,20260327,61.0,60.136417388916016,1.1,1.4,0.0,0.0,0.2031132770336526,0.2478698829351229,0.2254915799843877,0.2364689793187929,0.4456878628932386,0.097390392613412,0.0669390196756514,-0.0292431359501463,1.75,2.15,0.0,1.0,0.1974178381885654,0.2571191588192783,0.2272684985039219,0.2364689793187929,-0.561738823334639,0.0997368045157198,0.0666476141956837,-0.0234026207001214,2026-03-27,30,0,0.8635826110839844,2.85,3.55,3.2,0.6999999999999997,0.21874999999999992,0.0,0.0,0.0,1.0,0.2263800392441548,0.2263800392441548,0.0,none,380,380
2026-02-25,MKC,20260320,70.0,68.66,1.0,1.15,21.0,0.0,0.2165736016601285,0.2388157889635636,0.2276946953118461,0.237002799348863,0.400304232479223,0.0933929784777539,0.0673119640782697,-0.0382938641251384,2.2,2.5,12.0,1168.0,0.2209980333782268,0.2658695983286501,0.2434338158534384,0.237002799348863,-0.6066001782443959,0.0954735586473422,0.0668328353927161,-0.0315462418832561,2026-03-20,23,7,1.3400000000000034,3.2,3.65,3.425,0.44999999999999973,0.13138686131386854,12.0,33.0,0.0,1168.0,0.2355642555826422,0.2355642555826422,0.0,none,381,381
2026-02-25,MPWR,20260417,1220.0,1224.81,90.0,102.5,5.0,0.0,0.4665504270918355,0.5358006499099508,0.5011755385008931,0.5040612107379685,0.5554199140047308,0.0017216844098185,1.804863625640252,-0.956953279071996,83.5,90.1,0.0,0.0,0.4859355142966858,0.522495803624695,0.5042156589606904,0.5040612107379685,-0.447238200003758,0.0017361536182243,1.8051303539743344,-0.8338898897131912,2026-04-17,51,21,4.809999999999945,173.5,192.6,183.05,19.099999999999994,0.10434307566238729,0.0,5.0,0.0,0.0,0.5026955987307917,0.5026955987307917,0.0,none,382,382
2026-02-25,MRK,20260327,123.0,123.16,3.35,4.2,2.0,0.0,0.2471796449167977,0.3087209379637504,0.277950291440274,0.2690466515335544,0.5238396221525948,0.0456515304406779,0.1381204992661411,-0.0693676299012069,3.65,4.1,8.0,11.0,0.2381542306732097,0.2702862383437542,0.2542202345084819,0.2690466515335544,-0.5118072433744199,0.0428586147878302,0.1400021978696903,-0.0567539852767096,2026-03-27,30,0,0.1599999999999966,7.0,8.3,7.65,1.3000000000000007,0.1699346405228759,2.0,10.0,0.0,11.0,0.266085262974378,0.266085262974378,0.0,none,383,383
2026-02-25,MRNA,20260327,52.0,52.32,4.3,5.3,0.0,0.0,0.6805133216065409,0.8496510916022212,0.765082206604381,0.7895609529164909,0.5607981094171254,0.0334155728756086,0.0590924666560512,-0.0807744315279652,4.35,5.45,0.0,71.0,0.7688319299074706,0.9551382468515164,0.8619850883794935,0.7895609529164909,-0.4405364360275046,0.0335823633498114,0.0591007036087125,-0.0756113579318,2026-03-27,30,0,0.3200000000000003,8.649999999999999,10.75,9.7,2.1000000000000014,0.21649484536082492,0.0,0.0,0.0,71.0,0.8135336474919372,0.8135336474919372,0.0,none,384,384
