symbol,expiry,strike,stock_price,call_bid,call_ask,call_volume,call_open_interest,call_bid_iv,call_ask_iv,call_mid_iv,call_model_iv,call_delta,call_gamma,call_vega,call_theta,put_bid,put_ask,put_volume,put_open_interest,put_bid_iv,put_ask_iv,put_mid_iv,put_model_iv,put_delta,put_gamma,put_vega,put_theta,atm_iv,expiry_date,days_to_expiry
DELL,20260327,124.0,123.77,8.2,9.7,3.0,0.0,0.5740127110199124,0.6805279376938606,0.6272703243568865,0.6353217287336876,0.5399460560122967,0.017683204432995373,0.14081745060556905,-0.155982076241866,8.15,9.15,0.0,1.0,0.5804373954766686,0.6514440223629371,0.6159407089198028,0.6353217287336876,-0.4618619292187507,0.017794590644025946,0.14081099530502073,-0.14374371154545784,0.6216055166383446,2026-03-27,30
DELL,20260821,125.0,123.77,16.3,18.4,0.0,0.0,0.483177889071512,0.5456945663094327,0.5144362276904724,0.519044871232632,0.5713701287201645,0.008917229415563126,0.3357314249389134,-0.05464150590198713,17.6,18.35,1.0,78.0,0.5125980180525402,0.5349163575086687,0.5237571877806044,0.519044871232632,-0.43364214932044803,0.008998071646947763,0.33610141934830295,-0.04270340207043333,0.5190967077355384,2026-08-21,177
DEO,20260320,85.0,86.77,3.6,4.0,176.0,0.0,0.2740117856510464,0.34761008303751273,0.31081093434427953,0.3235381333933729,0.6224083919005872,0.0542095378257524,0.08160018747830389,-0.06339576367734345,1.8,2.25,553.0,1121.0,0.3043002806877864,0.3593648454409462,0.3318325630643663,0.3235381333933729,-0.37980879933879946,0.054695368392688036,0.08170691428090016,-0.054817305164035046,0.32132174870432295,2026-03-20,23
DGX,20260320,210.0,207.12,3.0,4.0,2.0,0.0,0.1945720884180749,0.24404934221134592,0.2193107153147104,0.23767005850173145,0.4363345674668265,0.031999536746703396,0.20168794608195784,-0.11446528691347968,5.5,6.5,0.0,17.0,0.19877002879982966,0.2485145120733506,0.22364227043659013,0.23767005850173145,-0.5699531602887647,0.032645664996934144,0.20091432639461448,-0.09426522910683577,0.22147649287565027,2026-03-20,23
DHI,20260320,155.0,156.1,6.4,7.3,14.0,0.0,0.3632126131027805,0.42128260772407894,0.3922476104134297,0.36591737986978234,0.5610396404545689,0.027501842183872492,0.1549990427718937,-0.1328357429679361,4.6,5.4,152.0,1349.0,0.3361502353481074,0.38777696008268225,0.3619635977153948,0.36591737986978234,-0.4444760779421436,0.027805650397381986,0.1549747537414401,-0.11726483747710326,0.3771056040644123,2026-03-20,23
DHI,20260327,155.0,156.1,7.0,7.9,4.0,0.0,0.34870944013548344,0.3996265529368058,0.37416799653614463,0.3637640723240556,0.5612613599675998,0.0242386206709611,0.17678727035687913,-0.11635161174803876,5.2,5.9,4.0,3.0,0.33110156195887436,0.3707110713201857,0.35090631663953004,0.3637640723240556,-0.441674811890454,0.024502037366990352,0.17679436150287753,-0.10091042506206449,0.36253715658783736,2026-03-27,30
DHR,20260320,210.0,210.41,6.1,6.8,30.0,0.0,0.2678005060740303,0.3011589201995493,0.28447971313678977,0.2879201858112251,0.5385727404626184,0.026176677207944078,0.2098500436096451,-0.1435280221809494,5.3,5.8,7.0,444.0,0.27059504508685095,0.2944335587972444,0.2825143019420477,0.2879201858112251,-0.4649573349694582,0.026505735328031514,0.209765874084189,-0.12267584231125639,0.28349700753941875,2026-03-20,23
DHR,20260327,210.0,210.41,6.7,8.0,0.0,0.0,0.2593163991762742,0.31381520608941693,0.2865658026328456,0.2995542806858459,0.5404918868367163,0.02224911959446789,0.2388348069015791,-0.13082791386765358,6.1,7.5,0.0,4.0,0.26589411907795313,0.32439273747797037,0.29514342827796175,0.2995542806858459,-0.46987499395716387,0.022177964062141765,0.23931667961854597,-0.10886670907075136,0.2908546154554037,2026-03-27,30
DHR,20260618,210.0,210.41,13.9,15.7,0.0,0.0,0.27202079445309113,0.31101041028953225,0.2915156023713117,0.2863723141509327,0.5615682756370275,0.01180400774346083,0.4616695623592779,-0.06991851799132753,11.9,13.0,1.0,424.0,0.27781422781717624,0.3016761034343817,0.289745165625779,0.2863723141509327,-0.4490175013986087,0.012285430452470051,0.4609989484262673,-0.04926563694600894,0.29063038399854535,2026-06-18,113
DINO,20260320,50.0,49.63,1.45,1.8,4.0,0.0,0.3608129621397303,0.43143752588632245,0.3961252440130264,0.3869037212202715,0.46669811508379416,0.08443434885362532,0.049565157921930725,-0.04496033025223545,2.2,2.55,27.0,527.0,0.3750103119326496,0.43564672772402585,0.40532851982833773,0.3869037212202715,-0.5372358804370381,0.08435569285092544,0.0495194992289143,-0.039537204482422705,0.40072688192068207,2026-03-20,23
DINO,20260417,50.0,49.63,2.3,2.7,2.0,0.0,0.34879953779320033,0.4031056698527559,0.3759526038229781,0.3783464142616866,0.49677939178482144,0.057505557229253074,0.0736429308505917,-0.029827876863121716,2.9,3.3,0.0,2.0,0.3496207088783076,0.4040573036796797,0.37683900627899364,0.3783464142616866,-0.5084005395689686,0.058552164506376105,0.0734800810236691,-0.02492740253852377,0.3763958050509859,2026-04-17,51
DINO,20260618,50.0,49.63,3.5,4.1,6.0,0.0,0.3466562411756129,0.40268253099767015,0.3746693860866415,0.37189604397553966,0.5216574328359554,0.04004518675004948,0.1070870256622527,-0.019879696016220638,4.3,5.1,0.0,96.0,0.36326095888439003,0.4379688131048981,0.40061488599464407,0.37189604397553966,-0.48730091552852733,0.040203326093394415,0.10720766426390149,-0.015056815217169728,0.3876421360406428,2026-06-18,113
DINO,20260918,50.0,49.63,4.7,5.6,0.0,0.0,0.3457275472407082,0.40919484892707986,0.377461198083894,0.3754738166325234,0.5450601561819418,0.03007971805284466,0.14178343828283513,-0.01509660423522785,5.6,6.6,0.0,82.0,0.34976365337554655,0.41955178209095023,0.3846577177332484,0.3754738166325234,-0.47531361912602155,0.029696971927203723,0.14337036870604525,-0.01031505455953674,0.3810594579085712,2026-09-18,205
DIS,20260327,105.0,105.02999877929688,3.2,3.8,10.0,0.0,0.25085352826263096,0.300992629473492,0.27592307886806144,0.2678418278342764,0.5336505804460129,0.04953339060392138,0.11966468611066139,-0.05928280704212874,2.74,3.3,0.0,33.0,0.24186434522437736,0.28870268485370804,0.2652835150390427,0.2678418278342764,-0.47111893135331767,0.0503618234009625,0.11956944314866069,-0.04894422005298571,0.27060329695355206,2026-03-27,30
DIS,20260821,105.0,105.02999877929688,9.1,9.75,2.0,0.0,0.2886178929529342,0.3112940915589214,0.29995599225592784,0.29696340029456475,0.5688779169630277,0.01819965242984635,0.2866306603023876,-0.029437944299600005,7.85,8.1,33.0,1141.0,0.29310198651658437,0.30182217863304245,0.29746208257481344,0.29696340029456475,-0.44000087138923466,0.018688042553329298,0.28665140769110664,-0.019293254779594093,0.29870903741537064,2026-08-21,177
DIS,20260918,105.0,105.02999877929688,9.75,10.25,1.0,0.0,0.28470833417042796,0.30096466714079173,0.29283650065560984,0.2955064985242856,0.5749670341111567,0.01694390744498956,0.30751810535354096,-0.027507656653734003,8.3,8.7,9.0,1564.0,0.2904518069247806,0.3034607314181909,0.29695626917148576,0.2955064985242856,-0.43651939564138886,0.0175582528202877,0.3074533296258348,-0.01757784384484573,0.2948963849135478,2026-09-18,205
DKNG,20260320,22.5,22.6,1.4,1.54,430.0,0.0,0.58257480483054,0.640416556534935,0.6114956806827375,0.5917512556749037,0.5475180661804904,0.11836467360531948,0.02246503628517127,-0.030279232516931653,1.24,1.3,95.0,1842.0,0.586457002472835,0.6087001901616403,0.5975785963172378,0.5917512556749037,-0.45401358527130903,0.11901889049125366,0.02246524707559483,-0.02803429581937822,0.6045371384999876,2026-03-20,23
DKNG,20260327,23.0,22.6,1.22,1.49,12.0,0.0,0.5222330617720671,0.6300029297822327,0.5761179957771498,0.568054647317192,0.49708618406560806,0.10850036033216123,0.025968520614251478,-0.025782214452454877,1.48,1.76,2.0,20.0,0.5048283963759037,0.6126369225539036,0.5587326594649036,0.568054647317192,-0.5051977607501551,0.10935587882894796,0.025950000444605825,-0.023521690547433804,0.5674253276210267,2026-03-27,30
